2026-06-22 14:36:17,912 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:36:19,827 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:36:20,132 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:36:21,362 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:36:21,662 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:36:21,962 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:36:22,251 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:36:22,251 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:41:16,457 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:41:16,476 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:41:16,477 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:41:16,477 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:41:16,479 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:41:16,479 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:41:18,434 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:41:18,434 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:41:18,444 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:41:18,444 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:41:20,838 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:41:21,171 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:41:22,315 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:41:22,608 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:41:22,890 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:41:23,207 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
